Judul;Pendapatan;Prediksi;Tahun
Up;735.099.082;293.004.164;2009
Ne Zha;726.063.471;3.695.533;2019
Gravity;723.192.705;274.092.705;2013
Captain America: The Winter Soldier;714.421.503;259.766.572;2014
The Twilight Saga: Breaking Dawn - Part 1;712.205.856;281.287.133;2011
The Twilight Saga: New Moon;711.020.081;297.816.253;2009
Dawn of the Planet of the Apes;710.644.566;208.545.589;2014
Transformers;709.709.780;319.246.193;2007
The Amazing Spider-Man 2;708.982.323;202.853.933;2014
It;701.796.444;328.828.874;2017
The Wandering Earth;699.760.773;5.875.487;2019
The Twilight Saga: Eclipse;698.491.347;300.531.751;2010
Mission: Impossible - Ghost Protocol;694.713.380;209.397.903;2011
The Hunger Games;694.394.724;408.010.692;2012
Moana;690.845.539;248.757.044;2016
Mission: Impossible - Rogue Nation;682.714.267;195.042.377;2015
Forrest Gump;678.222.284;330.455.270;1994
Doctor Strange;677.718.395;232.641.920;2016
Interstellar;677.471.339;188.020.017;2014
The Sixth Sense;672.806.292;293.506.292;1999
Man of Steel;668.045.518;291.045.518;2013
Ice Age: The Meltdown;667.094.506;195.330.621;2006
Kung Fu Panda 2;665.692.281;165.249.063;2011
The Hunger Games: Mockingjay - Part 2;658.344.137;281.723.902;2015
Justice League;657.924.295;229.024.295;2017
Big Hero 6;657.827.828;222.527.828;2014
Fantastic Beasts: The Crimes of Grindelwald;654.855.901;159.555.901;2018
Pirates of the Caribbean: The Curse of the Black Pearl;654.264.015;305.413.918;2003
Star Wars: Episode II - Attack of the Clones;653.779.970;310.676.740;2002
Thor: The Dark World;644.783.140;206.362.140;2013
Sing;634.151.679;270.395.425;2016
Monsters. Inc.;632.316.649;289.916.256;2001
Kung Fu Panda;631.746.197;215.434.591;2008
The Incredibles;631.606.713;261.441.092;2004
The Martian;630.161.890;228.433.663;2015
Hancock;629.443.428;227.946.274;2008
Fast Five;626.137.675;209.837.675;2011
Men in Black 3;624.026.776;179.020.854;2012
Iron Man 2;623.933.331;312.433.331;2010
Ratatouille;623.726.085;206.445.654;2007
Ant-Man and the Wasp;622.674.139;216.648.740;2018
How to Train Your Dragon 2;621.537.519;177.002.924;2014
Logan;619.021.436;226.277.068;2017
The Lost World: Jurassic Park;618.638.999;229.086.679;1997
Casino Royale;616.501.619;167.445.960;2006
The Passion of the Christ;612.054.428;370.782.930;2004
Mamma Mia!;609.896.805;144.169.664;2008
Life of Pi;609.016.565;124.987.023;2012
Transformers: The Last Knight;605.425.157;130.168.683;2017
Madagascar: Escape 2 Africa;603.900.354;180.010.950;2008
War of the Worlds;603.873.119;234.280.354;2005
Tangled;592.461.732;200.821.936;2010
Quantum of Solace;589.580.482;168.368.427;2008
Men in Black;589.390.539;250.690.539;1997
The Croods;587.204.668;187.168.425;2013
The Hangover Part II;586.764.305;254.464.305;2011
I Am Legend;585.410.052;256.393.010;2007
Iron Man;585.366.247;318.604.126;2008
Ready Player One;582.890.172;137.690.172;2018
Operation Red Sea;579.330.426;1.543.547;2018
Night at the Museum;574.480.841;250.863.268;2006
Fifty Shades of Grey;569.651.467;166.167.230;2015
Kong: Skull Island;566.652.812;168.052.812;2017
The Smurfs;563.749.323;142.614.158;2011
King Kong;562.363.449;218.080.025;2005
Cars 2;559.852.396;191.452.396;2011
Puss in Boots;554.987.477;149.260.504;2011
The Mermaid;553.810.228;3.232.685;2016
Armageddon;553.709.788;201.578.182;1998
The Day After Tomorrow;552.639.571;186.740.799;2004
Ted;549.368.315;218.815.487;2012
Star Wars: Episode V - The Empire Strikes Back;547.937.125;290.271.960;1980
American Sniper;547.426.372;350.126.372;2014
Mission: Impossible II;546.388.108;215.409.889;2000
Detective Chinatown 2;544.185.156;1.983.984;2018
X-Men: Apocalypse;543.934.105;155.442.489;2016
Sherlock Holmes: A Game of Shadows;543.848.418;186.848.418;2011
Despicable Me;543.113.985;251.513.985;2010
Cinderella;542.351.353;201.151.353;2015
Madagascar;542.063.846;193.595.521;2005
World War Z;540.007.876;202.359.711;2013
Brave;538.983.207;237.283.207;2012
The Simpsons Movie;536.414.270;183.135.014;2007
The Revenant;532.950.503;183.637.894;2015
The Meg;530.243.742;145.443.742;2018
Ralph Breaks the Internet;529.323.962;201.091.711;2018
Hotel Transylvania 3: Summer Vacation;528.583.774;167.510.016;2018
The Boss Baby;527.965.936;491.977.191;2017
Dunkirk;526.940.665;189.740.665;2017
Godzilla;524.976.069;200.676.069;2014
Sherlock Holmes;524.028.679;209.028.679;2009
Meet the Fockers;522.657.936;279.261.160;2004
How to Train Your Dragon: The Hidden World;521.799.505;160.799.505;2019
WALL·E;521.311.860;223.808.164;2008
Kung Fu Panda 3;521.170.825;143.528.619;2016
Terminator 2: Judgment Day;520.884.847;205.881.154;1991
Ant-Man;519.311.965;180.202.163;2015
The Grinch;511.595.957;270.620.950;2018
Ghost;505.869.714;217.631.306;1990
Aladdin;504.050.219;217.350.219;1992
Rio 2;498.781.117;131.538.435;2014
Troy;497.409.852;133.378.256;2004
Toy Story 2;497.374.776;245.852.179;1999
How to Train Your Dragon;494.878.759;217.581.231;2010
Twister;494.471.524;241.721.524;1996
Oz the Great and Powerful;493.311.825;234.911.825;2013
Clash of the Titans;493.214.993;163.214.888;2010
Maleficent: Mistress of Evil;491.730.089;113.929.605;2019
War for the Planet of the Apes;490.719.763;146.880.162;2017
Shrek;488.179.189;267.665.011;2001
Mr. & Mrs. Smith;487.287.646;186.336.279;2005
Angels & Demons;485.930.816;133.375.846;2009
